,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,
Subject: Births and Fertility,,,,,,,,,,,,,,,,,
"Topic: Births, Crude Birth Rate (CBR), Total Fertility Rate (TFR) and Reproduction Rates",,,,,,,,,,,,,,,,,
"Table Title: Births And Fertility Rates, Annual",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data last updated: 06/06/2024,,,,,,,,,,,,,,,,,
"Source: SINGAPORE DEPARTMENT OF STATISTICS, IMMIGRATION AND CHECKPOINTS AUTHORITY",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Series,Total Fertility Rate ,Total Fertility Rate -> 15 - 19 Years ,Total Fertility Rate -> 20 - 24 Years ,Total Fertility Rate -> 25 - 29 Years ,Total Fertility Rate -> 30 - 34 Years ,Total Fertility Rate -> 35 - 39 Years ,Total Fertility Rate -> 40 - 44 Years ,Total Fertility Rate -> 45 - 49 Years ,Total Fertility Rate -> Chinese ,Total Fertility Rate -> Malays ,Total Fertility Rate -> Indians ,Gross Reproduction Rate ,Net Reproduction Rate ,Crude Birth Rate ,Total Live-Births ,Resident Live-Births ,Citizen Live-Births 
  1985,1.6,9.6,68,123.9,85.6,31.1,4.5,0.2,1.5,2.3,1.8,0.8,0.8,16.6,42484,41100,40567
  1984,1.6,10.3,68.6,124.2,83,32.1,4.9,0.2,1.5,2.3,1.8,0.8,0.8,16.5,41556,40200,39689
  1983,1.6,10.4,72.4,125.5,79.9,29.5,3.9,0.2,1.5,2.2,1.8,0.8,0.8,16.3,40585,39300,38768
  1982,1.7,11.4,80.2,136.4,84.5,31,4.9,0.3,1.6,2.3,1.9,0.8,0.8,17.5,42654,41300,40794
  1981,1.8,11.8,84.2,141.2,84.2,29.3,5.5,0.4,1.7,2.3,2,0.9,0.8,17.6,42250,41000,40498
  1980,1.8,12.7,84.9,144.5,87.8,28,5.8,0.5,1.7,2.2,2,0.9,0.9,17.6,41217,40100,39600
  1979,1.8,11.4,85.1,139.3,88.4,27.5,5.5,na,1.8,1.8,1.9,0.9,0.8,17.1,40779,na,na
  1978,1.8,11.8,86.8,140.9,86.8,26.7,5.3,na,1.8,1.8,1.8,0.9,0.8,16.8,39441,na,na
  1977,1.8,13.4,90.3,138.9,85.2,28.7,6.9,na,1.8,1.9,1.7,0.9,0.9,16.5,38364,na,na
  1976,2.1,16.2,107.2,160.2,95.9,33.8,8.1,na,2.2,1.9,1.8,1,1,18.7,42783,na,na
  1975,2.1,16.8,102.1,154.5,94.9,36.3,10,na,2.1,2.1,2,1,1,17.7,39948,na,na
  1974,2.4,20.8,118.9,172.2,102.9,42.6,12.7,na,2.3,2.5,2.3,1.1,1.1,19.4,43268,na,na
  1973,2.8,24.2,130.5,199.5,128.4,57.6,17.4,na,2.8,2.9,2.6,1.4,1.3,22,48269,na,na
  1972,3,25.3,137.4,218,139.2,66.1,20.9,na,3,3.3,3.1,1.5,1.4,23.1,49678,na,na
  1971,3,25.6,138.3,212.6,137.6,68.5,21.9,na,3,3.3,3.1,1.5,1.4,22.3,47088,na,na
  1970,3.1,25.9,139,208.8,138,74.5,26.7,na,3,3.5,3.2,1.5,1.4,22.1,45934,na,na
  1969,3.2,27.1,150.1,227.8,134.3,75.2,29.4,na,3.1,3.8,4.6,1.6,1.4,21.8,44562,na,na
  1968,3.5,30.9,165.8,236.6,152,85.2,35.3,na,3.3,4.5,4.8,1.7,1.6,23.5,47241,na,na
  1967,3.9,35.8,195.8,244.7,166.7,95.9,42.9,na,3.6,5.3,5.6,1.9,1.8,25.6,50560,na,na
  1966,4.5,33,218.5,261.2,202,124.8,51.7,na,4.1,6.1,6.6,2.2,2,28.3,54680,na,na
  1965,4.7,35.9,227.1,259.5,216.2,138.1,54.9,na,4.3,6.3,6.7,2.3,2.1,29.5,55725,na,na
  1964,5,38.3,240,277.6,226.7,147.7,62.8,na,4.6,6.8,7.1,2.4,2.2,31.6,58217,na,na
  1963,5.2,45.7,249,287.2,228.7,156.1,64.9,na,4.8,6.8,6.9,2.5,2.3,33.2,59530,na,na
  1962,5.2,52,245.5,291.7,231.5,156.2,65.1,na,4.9,6.6,7,2.5,2.3,33.7,58977,na,na
  1961,5.4,63.4,241.1,304.9,238.4,168.9,64.8,na,5.2,6.4,7,2.6,2.4,35.2,59930,na,na
  1960,5.8,69.6,250.5,323.9,259.7,176.7,70.7,na,5.6,6.4,7.4,2.8,2.5,37.5,61775,na,na
,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,
Total Fertility Rate (Per Female):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Total Fertility Rate -> 15 - 19 Years (Per Thousand Females):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Total Fertility Rate -> 20 - 24 Years (Per Thousand Females):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Total Fertility Rate -> 25 - 29 Years (Per Thousand Females):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Total Fertility Rate -> 30 - 34 Years (Per Thousand Females):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Total Fertility Rate -> 35 - 39 Years (Per Thousand Females):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Total Fertility Rate -> 40 - 44 Years (Per Thousand Females):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Total Fertility Rate -> 45 - 49 Years (Per Thousand Females):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Total Fertility Rate -> Chinese (Per Female):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Total Fertility Rate -> Malays (Per Female):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Total Fertility Rate -> Indians (Per Female):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents). ,,,,,,,,,,,,,,,,,
Gross Reproduction Rate (Per Female):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Net Reproduction Rate (Per Female):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).  ,,,,,,,,,,,,,,,,,
Crude Birth Rate (Per Thousand Residents):,,,,,,,,,,,,,,,,,
Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).,,,,,,,,,,,,,,,,,
Total Live-Births (Number):,,,,,,,,,,,,,,,,,
Data are based on date of occurrence.,,,,,,,,,,,,,,,,,
Resident Live-Births (Number):,,,,,,,,,,,,,,,,,
Refers to births with at least one parent who is a Singapore citizen or permanent resident.  Data for 1980-1985 are estimated.  Data are based on date of occurrence.,,,,,,,,,,,,,,,,,
Citizen Live-Births (Number):,,,,,,,,,,,,,,,,,
Refers to births with at least one parent who is a Singapore citizen. Data are based on date of occurrence.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,
Crude Birth Rate:,,,,,,,,,,,,,,,,,
Crude birth rate (CBR) refers to the number of live-births to the population in the year per thousand population.,,,,,,,,,,,,,,,,,
Gross Reproduction Rate:,,,,,,,,,,,,,,,,,
Gross reproduction rate refers to the number of daughters a woman would have under the following assumptions: (i) that she experiences the age-specific fertility rates prevailing during the reference period (ii) that she is assumed to have survived to the end of her childbearing years,,,,,,,,,,,,,,,,,
Live-Births:,,,,,,,,,,,,,,,,,
Data on live-births cover live births occurring within Singapore and its territorial waters. These births are registered under the Registration of Births and Deaths Act (Chapter 267).,,,,,,,,,,,,,,,,,
Net Reproduction Rate:,,,,,,,,,,,,,,,,,
"Net reproduction rate is a refinement of the gross reproduction rate, and is also the measure of replacement of population. It refers to the number of daughters a woman would have under the following assumptions: (i) she experiences the age-specific fertility rate prevailing during the reference period (ii) she experiences the age-specific mortality rate prevailing during the reference period",,,,,,,,,,,,,,,,,
Total Fertility Rate:,,,,,,,,,,,,,,,,,
Total fertility rate refers to the average number of live-births each female would have during her reproductive years if she were subject to the prevailing age-specific fertility rates in the population in the given year.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,
Date generated: 27/09/2024,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,
